name,csvLink
Newspapers from 1809,https://loar.kb.dk/rest/bitstreams/f3199715-a1ba-455d-be8c-f4e90735eafe/retrieve
Newspapers from 1808,https://loar.kb.dk/rest/bitstreams/a7c97ad0-90b9-4f1a-bbaf-d63c2b272de1/retrieve
Newspapers from 1807,https://loar.kb.dk/rest/bitstreams/5f58aa54-cc74-478a-932c-4a0f6bd3f157/retrieve
Newspapers from 1806,https://loar.kb.dk/rest/bitstreams/a760ca7c-0cf6-4400-8bfb-db88f6aadee1/retrieve
Newspapers from 1805,https://loar.kb.dk/rest/bitstreams/01a78cd6-12de-44e2-9296-f62dc981dd56/retrieve
Newspapers from 1804,https://loar.kb.dk/rest/bitstreams/16945d7c-bb32-4753-9652-d52d9baeddb3/retrieve
Newspapers from 1803,https://loar.kb.dk/rest/bitstreams/08a856d0-4e14-4b82-b012-eb92440ecd3d/retrieve
Newspapers from 1802,https://loar.kb.dk/rest/bitstreams/7a4177e5-6d3e-418f-a98d-221efbfa95dc/retrieve
Newspapers from 1801,https://loar.kb.dk/rest/bitstreams/2d579c31-47ca-4a94-857f-d722eb306865/retrieve
Newspapers from 1800,https://loar.kb.dk/rest/bitstreams/4d7956fd-9fd9-4061-bb7b-e5a809e9baae/retrieve
